,0
0,yo
1,Heya
2,Namaste
3,Hey
4,To great see you!
5,Ssup
6,Whatup
7,Yo
8,hello
9,Howdy
10,There hey
11,There hey!
12,! hello
13,There hey
14,Buddy hey!
15,Hi support need
16,Hii
17,Heyo
18,! hello
19,There hello!
20,There hello!
21,Yo
22,Hii
23,Hey
24,Hi
25,! hey
26,There hey
27,! hola
28,Chatbox hello
29,what ' up s
30,What ' up s
31,Wassup
32,How are doing you
33,How ' life s you treating?
34,How life is?
35,Ya how doin
36,Sup
37,you how doing?
38,How do do you
39,? sup
40,How you do do?
41,Have how you been?
42,How you are doing
43,I great am! Thank! you
44,Wassup
45,Are how you?
46,What ' new s?
47,How doin you?
48,Wassup
49,Life hows?
50,How your was day?
51,You how doin?
52,Up whats?
53,What s ' happening?
54,Kya raha chal?
55,? wassup
56,You how doing?
57,You are fine?
58,Are good you?
59,Are how you?
60,How you are doing?
61,who you are?
62,what you are exactly?
63,yourself identify
64,who this is
65,is who at the other of end this chat
66,who are? you
67,What ' you re?
68,Who am talking I to?
69,Are who you?
70,May I know the Identity of this person?
71,Do where you belong
72,What you do do here
73,You who
74,who u are?
75,You and are.?
76,your whats name?
77,thou shall yourself reveal
78,Get may I your name pls?
79,Do what they call you
80,Have met I you anywhere?
81,Abt how you
82,Dis who
83,I may know you who are?
84,How can you me help?
85,What ' s name your?
86,Do I u know
87,Are who youu?
88,What I can call you?
89,Name your?
90,You can tell your me name?
91,Are you? there
92,Any one? there
93,Is what your name?
94,you are abir?
95,Anyone is there?
96,Name your is?
97,Who chatting is?
98,Me tell about your self?
99,Who you are?
100,Am who I chatting with?
101,What ' s your? name
102,Should what I say your as name?
103,Tell me name your?
104,What are called you?
105,There is bot a chatting to me?
106,Is it message automated?
107,Based computer pely
108,Bot or? human
109,Bot is chatting me with?
110,Are you system generated? message
111,Are robot you?
112,You are machine?
113,Are just you computer?
114,You are a robot?
115,Are a you person?
116,You are a machine?
117,Are a you chatbot?
118,Are a you bot?
119,These are automated messages?
120,Am talking I a to bot?
121,Are you boy a are girl?
122,Are you a bot human or?
123,This is machine a?
124,This a is chatbot?
125,Generated system reply
126,You sir system genretrd
127,Is this based computer response
128,Is this machine a?
129,Are you human a?
130,A u bot?
131,You are an AI?
132,"You a are, aren bot ' t you?"
133,Are a you bot
134,Are you a made man
135,"Say, you wouldn ' t to happen a bot be would you?"
136,You are a computer?
137,I am talking to bot a?
138,Sound you like a bot.
139,You are real?
140,are you a not human?
141,Are you bot a perhaps?
142,Are you robot a
143,"You sound a like, bot are you?"
144,R robot u
145,You are a bot
146,Are you a? bot
147,Are you robot a?
